company,price,change
Maruti Suzuki India Limited (MARUTI.NS),"12,504.65",(-0.31%)
Kotak Mahindra Bank Limited (KOTAKBANK.NS),"1,643.10",(-0.32%)
Tata Consultancy Services Limited (TCS.NS),"3,960.20",(-0.42%)
Titan Company Limited (TITAN.NS),"3,245.70",(-0.43%)
Apollo Hospitals Enterprise Limited (APOLLOHOSP.NS),"5,806.40",(-0.69%)
UltraTech Cement Limited (ULTRACEMCO.NS),"9,446.10",(-0.77%)
Nestlé India Limited (NESTLEIND.NS),"2,513.45",(-1.01%)
Bharti Airtel Limited (BHARTIARTL.NS),"1,275.45",(-1.02%)
LTIMindtree Limited (LTIM.NS),"4,658.00",(-1.18%)
Cipla Limited (CIPLA.NS),"1,358.80",(-1.87%)
ICICI Lombard General Insurance Company Limited (ICICIGI.NS),"1,651.55",(-4.12%)
